calendar_type,year,month,day,on,result
gregorian,,3,15,2026-03-08,
gregorian,1950,3,15,2026-03-08,76
gregorian,1990,3,15,2026-03-08,36
gregorian,2010,3,15,2026-03-08,16
gregorian,5710,3,15,2026-03-08,-3684
gregorian,5750,3,15,2026-03-08,-3724
gregorian,5786,3,15,2026-03-08,-3760
hebrew,,12,19,2026-03-08,
hebrew,1950,12,19,2026-03-08,3836
hebrew,1990,12,19,2026-03-08,3796
hebrew,2010,12,19,2026-03-08,3776
hebrew,5710,12,19,2026-03-08,76
hebrew,5750,12,19,2026-03-08,36
hebrew,5786,12,19,2026-03-08,0
gregorian,,3,15,2026-09-23,
gregorian,1950,3,15,2026-09-23,76
gregorian,1990,3,15,2026-09-23,36
gregorian,2010,3,15,2026-09-23,16
gregorian,5710,3,15,2026-09-23,-3684
gregorian,5750,3,15,2026-09-23,-3724
gregorian,5786,3,15,2026-09-23,-3760
hebrew,,12,19,2026-09-23,
hebrew,1950,12,19,2026-09-23,3837
hebrew,1990,12,19,2026-09-23,3797
hebrew,2010,12,19,2026-09-23,3777
hebrew,5710,12,19,2026-09-23,77
hebrew,5750,12,19,2026-09-23,37
hebrew,5786,12,19,2026-09-23,1
gregorian,,3,15,2000-01-01,
gregorian,1950,3,15,2000-01-01,50
gregorian,1990,3,15,2000-01-01,10
gregorian,2010,3,15,2000-01-01,-10
gregorian,5710,3,15,2000-01-01,-3710
gregorian,5750,3,15,2000-01-01,-3750
gregorian,5786,3,15,2000-01-01,-3786
hebrew,,12,19,2000-01-01,
hebrew,1950,12,19,2000-01-01,3810
hebrew,1990,12,19,2000-01-01,3770
hebrew,2010,12,19,2000-01-01,3750
hebrew,5710,12,19,2000-01-01,50
hebrew,5750,12,19,2000-01-01,10
hebrew,5786,12,19,2000-01-01,-26
gregorian,,3,15,2050-12-31,
gregorian,1950,3,15,2050-12-31,100
gregorian,1990,3,15,2050-12-31,60
gregorian,2010,3,15,2050-12-31,40
gregorian,5710,3,15,2050-12-31,-3660
gregorian,5750,3,15,2050-12-31,-3700
gregorian,5786,3,15,2050-12-31,-3736
hebrew,,12,19,2050-12-31,
hebrew,1950,12,19,2050-12-31,3861
hebrew,1990,12,19,2050-12-31,3821
hebrew,2010,12,19,2050-12-31,3801
hebrew,5710,12,19,2050-12-31,101
hebrew,5750,12,19,2050-12-31,61
hebrew,5786,12,19,2050-12-31,25
