num,result
0,
1,א׳
2,ב׳
3,ג׳
4,ד׳
5,ה׳
6,ו׳
7,ז׳
8,ח׳
9,ט׳
10,י׳
11,י״א
12,י״ב
13,י״ג
14,י״ד
15,ט״ו
16,ט״ז
17,י״ז
18,י״ח
19,י״ט
20,כ׳
21,כ״א
22,כ״ב
23,כ״ג
24,כ״ד
25,כ״ה
26,כ״ו
27,כ״ז
28,כ״ח
29,כ״ט
30,ל׳
31,ל״א
32,ל״ב
33,ל״ג
34,ל״ד
35,ל״ה
36,ל״ו
37,ל״ז
38,ל״ח
39,ל״ט
40,מ׳
41,מ״א
42,מ״ב
43,מ״ג
44,מ״ד
45,מ״ה
46,מ״ו
47,מ״ז
48,מ״ח
49,מ״ט
50,נ׳
51,נ״א
52,נ״ב
53,נ״ג
54,נ״ד
55,נ״ה
56,נ״ו
57,נ״ז
58,נ״ח
59,נ״ט
60,ס׳
61,ס״א
62,ס״ב
63,ס״ג
64,ס״ד
65,ס״ה
66,ס״ו
67,ס״ז
68,ס״ח
69,ס״ט
70,ע׳
71,ע״א
72,ע״ב
73,ע״ג
74,ע״ד
75,ע״ה
76,ע״ו
77,ע״ז
78,ע״ח
79,ע״ט
80,פ׳
81,פ״א
82,פ״ב
83,פ״ג
84,פ״ד
85,פ״ה
86,פ״ו
87,פ״ז
88,פ״ח
89,פ״ט
90,צ׳
91,צ״א
92,צ״ב
93,צ״ג
94,צ״ד
95,צ״ה
96,צ״ו
97,צ״ז
98,צ״ח
99,צ״ט
100,ק׳
101,ק״א
102,ק״ב
103,ק״ג
104,ק״ד
105,ק״ה
106,ק״ו
107,ק״ז
108,ק״ח
109,ק״ט
110,ק״י
111,קי״א
112,קי״ב
113,קי״ג
114,קי״ד
115,קט״ו
116,קט״ז
117,קי״ז
118,קי״ח
119,קי״ט
120,ק״כ
121,קכ״א
122,קכ״ב
123,קכ״ג
124,קכ״ד
125,קכ״ה
126,קכ״ו
127,קכ״ז
128,קכ״ח
129,קכ״ט
130,ק״ל
131,קל״א
132,קל״ב
133,קל״ג
134,קל״ד
135,קל״ה
136,קל״ו
137,קל״ז
138,קל״ח
139,קל״ט
140,ק״מ
141,קמ״א
142,קמ״ב
143,קמ״ג
144,קמ״ד
145,קמ״ה
146,קמ״ו
147,קמ״ז
148,קמ״ח
149,קמ״ט
150,ק״נ
151,קנ״א
152,קנ״ב
153,קנ״ג
154,קנ״ד
155,קנ״ה
156,קנ״ו
157,קנ״ז
158,קנ״ח
159,קנ״ט
160,ק״ס
161,קס״א
162,קס״ב
163,קס״ג
164,קס״ד
165,קס״ה
166,קס״ו
167,קס״ז
168,קס״ח
169,קס״ט
170,ק״ע
171,קע״א
172,קע״ב
173,קע״ג
174,קע״ד
175,קע״ה
176,קע״ו
177,קע״ז
178,קע״ח
179,קע״ט
180,ק״פ
181,קפ״א
182,קפ״ב
183,קפ״ג
184,קפ״ד
185,קפ״ה
186,קפ״ו
187,קפ״ז
188,קפ״ח
189,קפ״ט
190,ק״צ
191,קצ״א
192,קצ״ב
193,קצ״ג
194,קצ״ד
195,קצ״ה
196,קצ״ו
197,קצ״ז
198,קצ״ח
199,קצ״ט
200,ר׳
201,ר״א
202,ר״ב
203,ר״ג
204,ר״ד
205,ר״ה
206,ר״ו
207,ר״ז
208,ר״ח
209,ר״ט
210,ר״י
211,רי״א
212,רי״ב
213,רי״ג
214,רי״ד
215,רט״ו
216,רט״ז
217,רי״ז
218,רי״ח
219,רי״ט
220,ר״כ
221,רכ״א
222,רכ״ב
223,רכ״ג
224,רכ״ד
225,רכ״ה
226,רכ״ו
227,רכ״ז
228,רכ״ח
229,רכ״ט
230,ר״ל
231,רל״א
232,רל״ב
233,רל״ג
234,רל״ד
235,רל״ה
236,רל״ו
237,רל״ז
238,רל״ח
239,רל״ט
240,ר״מ
241,רמ״א
242,רמ״ב
243,רמ״ג
244,רמ״ד
245,רמ״ה
246,רמ״ו
247,רמ״ז
248,רמ״ח
249,רמ״ט
250,ר״נ
251,רנ״א
252,רנ״ב
253,רנ״ג
254,רנ״ד
255,רנ״ה
256,רנ״ו
257,רנ״ז
258,רנ״ח
259,רנ״ט
260,ר״ס
261,רס״א
262,רס״ב
263,רס״ג
264,רס״ד
265,רס״ה
266,רס״ו
267,רס״ז
268,רס״ח
269,רס״ט
270,ר״ע
271,רע״א
272,רע״ב
273,רע״ג
274,רע״ד
275,רע״ה
276,רע״ו
277,רע״ז
278,רע״ח
279,רע״ט
280,ר״פ
281,רפ״א
282,רפ״ב
283,רפ״ג
284,רפ״ד
285,רפ״ה
286,רפ״ו
287,רפ״ז
288,רפ״ח
289,רפ״ט
290,ר״צ
291,רצ״א
292,רצ״ב
293,רצ״ג
294,רצ״ד
295,רצ״ה
296,רצ״ו
297,רצ״ז
298,רצ״ח
299,רצ״ט
300,ש׳
301,ש״א
302,ש״ב
303,ש״ג
304,ש״ד
305,ש״ה
306,ש״ו
307,ש״ז
308,ש״ח
309,ש״ט
310,ש״י
311,שי״א
312,שי״ב
313,שי״ג
314,שי״ד
315,שט״ו
316,שט״ז
317,שי״ז
318,שי״ח
319,שי״ט
320,ש״כ
321,שכ״א
322,שכ״ב
323,שכ״ג
324,שכ״ד
325,שכ״ה
326,שכ״ו
327,שכ״ז
328,שכ״ח
329,שכ״ט
330,ש״ל
331,של״א
332,של״ב
333,של״ג
334,של״ד
335,של״ה
336,של״ו
337,של״ז
338,של״ח
