name,result
"""בשיר",m
'ג'ורג',m
"??""",m
אאוס,m
אבא,m
אבי,m
אבי-אברהם,m
אביאור,m
אביאל,m
אביגדור,m
אבידור,m
אבידן,m
אבידע,m
אביהו,m
אביחי,m
אביחיל,m
אבינועם,m
אביעד,m
אביעזר,m
אביר,m
אבירם,m
אבירן,m
אבישי,m
אביתר,m
אבנר,m
אבראהים,m
אברהם,m
אברהם-אבי,m
אברי,m
אבשלום,m
אדגר,m
אדהם,m
אדואר,m
אדוארד,m
אדוורד,m
אדור,m
אדי,m
אדיב,m
אדים,m
אדיר,m
אדם,m
אדמון,m
אדמונד,m
אדריאן,m
אדריס,m
אהוביה,m
אהוד,m
אהרון,m
אהרון-רוני,m
אובאי,m
אובי,m
אוביי,m
אודי,m
אוהד,m
אוויס,m
אוון,m
אווס,m
אויס,m
אולג,m
אולי,m
אוליבר,m
אומר,m
אומרי,m
און,m
אוסאם,m
אוסאמא,m
אוסאמה,m
אוסיד,m
אוסם,m
אור-חיים,m
אוראן,m
אורון,m
אוריון,m
אורעד,m
אושיק,m
אושן,m
אושריאל,m
אזאד,m
אחי,m
אחיה,m
אחיעד,m
אחיקם,m
אחמד,m
איאד,m
איאל,m
איאס,m
איגור,m
אידו,m
אידן,m
איהאב,m
איהאם,m
איואן,m
איוב,m
איוואן,m
איוון,m
איזאר,m
איזי,m
איטן,m
אייאד,m
אייבי,m
אייד,m
איידן,m
אייזיק,m
איילון,m
אייסר,m
אילאיי,m
איליאס,m
אילעאי,m
אילעי,m
אימאר,m
אינאל,m
איסחאק,m
איסם,m
איסמאיל,m
איסר,m
איציק,m
איתיאל,m
איתיי,m
איתם,m
איתמר,m
איתן,m
אכרם,m
אל-חי,m
אלאור,m
אלאורי,m
אלאמיר,m
אלאן,m
אלארי,m
אלבראא,m
אלברט,m
אלדד,m
אלדור,m
אלדן,m
אלוני,m
אלחי,m
אלחנן,m
אלחסן,m
אלטר,m
אליאב,m
אליאל,m
אליאם,m
אליאס,m
אליאסף,m
אלידור,m
אלידע,m
אליהב,m
אליהו,m
אליוט,m
אליחי,m
אלימלך,m
אליסף,m
אליעד,m
אליעז,m
אליעזר,m
אליצור,m
אליק,m
אליקים,m
אלירוי,m
אלירון,m
אלירם,m
אלירן,m
אלישי,m
אלישיב,m
אלישמע,m
אלישע,m
אלכסיי,m
אלכסנדר,m
אלמועתסם,m
אלנתן,m
אלעאי,m
אלעד,m
אלעזר,m
אלעי,m
אלקנה,m
אלראי,m
אלרואי,m
אלרוי,m
אלרום,m
אלרון,m
אלרועי,m
אלרז,m
אלרם,m
אלרן,m
אלתר,m
אמאם,m
אמג'אד,m
אמג'ד,m
אמוץ,m
אמטאנס,m
אמיל,m
אמין,m
אמיר,m
אמיתי,m
אמנון,m
אמציה,m
אנדי,m
אנדראוס,m
אנדרו,m
אנדרי,m
אנדריי,m
אנטואן,m
אנטון,m
אנטוני,m
אנטוניו,m
אניס,m
אסא,m
אסד,m
אסלאן,m
אסמר,m
אסעד,m
אסף,m
אסף-יוסף,m
אסר,m
אסרף,m
אפי,m
אפרים,m
ארטור,m
ארטיום,m
אריק,m
ארמון,m
ארן,m
ארנון,m
ארסלאן,m
ארתור,m
אשד,m
אשכול,m
אשל,m
אשר,m
אשראף,m
אשרף,m
אתגר,m
אתמר,m
באג'ס,m
באהר,m
באסל,m
באסם,m
באשיר,m
בדיע,m
בדראן,m
בובי,m
בוטרוס,m
בולוס,m
בונים,m
בונם,m
בועז,m
בוראק,m
בורהאן,m
בוריס,m
ביברס,m
בירן,m
בכור,m
בכר,m
בלאל,m
בן,m
בן-אל,m
בן-ציון,m
בנאל,m
בנג'מין,m
בנו,m
בני,m
בניה,m
בניהו,m
בנייה,m
בנימין,m
בנצי,m
בנציון,m
בסיל,m
בצלאל,m
בר-אל,m
בראהים,m
בראל,m
ברוך,m
ברוק,m
ברכאת,m
ברנרד,m
ברק,m
ברקאי,m
בשאר,m
בשארה,m
בשיר,m
ג'אבר,m
ג'אד,m
ג'אודת,m
ג'אזי,m
ג'אית,m
ג'אלי,m
ג'אן,m
ג'אנם,m
ג'אסר,m
ג'בל,m
ג'בר,m
ג'בריל,m
ג'ברין,m
ג'הד,m
ג'ואד,m
ג'וואד,m
ג'וזייף,m
ג'וזף,m
ג'ול,m
ג'ומעה,m
ג'וני,m
ג'ונתן,m
ג'ורג,m
ג'ורג',m
ג'ושוע,m
ג'יהד,m
ג'יימי,m
ג'יית,m
ג'ירייס,m
ג'יריס,m
ג'ית,m
ג'לאל,m
ג'מאל,m
ג'מיל,m
ג'מעה,m
ג'סאן,m
ג'עפר,m
ג'ק,m
ג'קי,m
ג'רייס,m
ג'ריס,m
גאבי,m
גאזי,m
גאיית,m
גאית,m
גאית',m
גאלב,m
גאלי,m
גאנם,m
גאסם,m
גאסר,m
גב,m
גבל,m
גד,m
גדי,m
גדליה,m
גדליהו,m
גדעון,m
גואל,m
גודת,m
גווד,m
גוזיף,m
גוליאן,m
גומא,m
גונן,m
גוסאי,m
גור,m
גורגי,m
גידי,m
גיורא,m
גיית,m
גיית',m
גילאור,m
גיריס,m
גית,m
גלאל,m
גלב,m
גלבוע,m
גליל,m
גלעד,m
גמל,m
גמליאל,m
גמעה,m
גסאן,m
גרי,m
גריגורי,m
גריס,m
גרשון,m
דאהר,m
דאוד,m
דאווד,m
דאניל,m
דב,m
דגן,m
דדו,m
דדי,m
דובב,m
דובי,m
דובער,m
דוד,m
דודו,m
דודי,m
דומיניק,m
דיאאלדין,m
דיאב,m
דיב,m
דיויד,m
דייב,m
דייויד,m
דיין,m
דמיטרי,m
דמיר,m
דן,m
דנאל,m
דניאיל,m
דניל,m
דעאל,m
דרויש,m
דרורי,m
האדי,m
האיל,m
האני,m
הארון,m
הארי,m
האשם,m
הד,m
הדי,m
הוסמא,m
היאב,m
היימן,m
היית'ם,m
הייתאם,m
הילל,m
היסאם,m
הישאם,m
הית'ם,m
הלאל,m
המאם,m
הנרי,m
הרי,m
הרן,m
הרצל,m
ואדים,m
ואהיב,m
ואיל,m
ואפי,m
וג'ד,m
וג'די,m
וג'יה,m
ודיע,m
והיב,m
ווארד,m
וחיד,m
ויטוריו,m
ויליאם,m
ויצמן,m
ויקטור,m
ולדימיר,m
ולדיסלב,m
וליד,m
וסים,m
ופיק,m
ז'ק,m
ז'קי,m
זאב,m
זאהי,m
זאהר,m
זאיד,m
זאין,m
זבולון,m
זהיא,m
זהיר,m
זהראן,m
זוהדי,m
זוהייר,m
זונדל,m
זושא,m
זיאד,m
זייאד,m
זייד,m
זיידאן,m
זינאדין,m
זינאלדין,m
זינדין,m
זכי,m
זכריא,m
זכריה,m
זליג,m
זלמן,m
זמיר,m
זן,m
זק,m
זקי,m
זרח,m
ח'אלד,m
ח'דר,m
ח'טאב,m
ח'ליל,m
ח'מיס,m
חאדר,m
חאזם,m
חאטם,m
חאלד,m
חאמד,m
חאפז,m
חביב,m
חביבאללה,m
חבר,m
חגאי,m
חגי,m
חובב,m
חודייפה,m
חודיפה,m
חוני,m
חוסאם,m
חוסין,m
חוסני,m
חופי,m
חזי,m
חזקיה,m
חזקיהו,m
חטאב,m
חי,m
חידר,m
חיים,m
חילמי,m
חכים,m
חכם,m
חכמת,m
חלאד,m
חלמי,m
חמד,m
חמדאללה,m
חמדאן,m
חמדי,m
חמוד,m
חמודה,m
חמודי,m
חמזה,m
חמיד,m
חנא,m
חנוך,m
חנינא,m
חננאל,m
חנניה,m
חסאן,m
חסד,m
חרב,m
חרבי,m
טאה,m
טאהא,m
טאהר,m
טאלב,m
טארק,m
טדי,m
טובאל,m
טוביה,m
טייב,m
טים,m
