h_year,is_leap
5770,False
5771,True
5772,False
5773,False
5774,True
5775,False
5776,True
5777,False
5778,False
5779,True
5780,False
5781,False
5782,True
5783,False
5784,True
5785,False
5786,False
5787,True
5788,False
5789,False
5790,True
5791,False
5792,False
5793,True
5794,False
5795,True
5796,False
5797,False
5798,True
5799,False
5800,False
5801,True
5802,False
5803,True
5804,False
5805,False
5806,True
5807,False
5808,False
5809,True
5810,False
5811,False
5812,True
5813,False
5814,True
5815,False
5816,False
5817,True
5818,False
5819,False
