h_year,h_month,length
5770,1,30
5770,2,29
5770,3,30
5770,4,29
5770,5,30
5770,6,29
5770,7,30
5770,8,30
5770,9,30
5770,10,29
5770,11,30
5770,12,29
5771,1,30
5771,2,29
5771,3,30
5771,4,29
5771,5,30
5771,6,29
5771,7,30
5771,8,30
5771,9,30
5771,10,29
5771,11,30
5771,12,30
5771,13,29
5772,1,30
5772,2,29
5772,3,30
5772,4,29
5772,5,30
5772,6,29
5772,7,30
5772,8,29
5772,9,30
5772,10,29
5772,11,30
5772,12,29
5773,1,30
5773,2,29
5773,3,30
5773,4,29
5773,5,30
5773,6,29
5773,7,30
5773,8,29
5773,9,29
5773,10,29
5773,11,30
5773,12,29
5774,1,30
5774,2,29
5774,3,30
5774,4,29
5774,5,30
5774,6,29
5774,7,30
5774,8,30
5774,9,30
5774,10,29
5774,11,30
5774,12,30
5774,13,29
5775,1,30
5775,2,29
5775,3,30
5775,4,29
5775,5,30
5775,6,29
5775,7,30
5775,8,29
5775,9,30
5775,10,29
5775,11,30
5775,12,29
5776,1,30
5776,2,29
5776,3,30
5776,4,29
5776,5,30
5776,6,29
5776,7,30
5776,8,30
5776,9,30
5776,10,29
5776,11,30
5776,12,30
5776,13,29
5777,1,30
5777,2,29
5777,3,30
5777,4,29
5777,5,30
5777,6,29
5777,7,30
5777,8,29
5777,9,29
5777,10,29
5777,11,30
5777,12,29
5778,1,30
5778,2,29
5778,3,30
5778,4,29
5778,5,30
5778,6,29
5778,7,30
5778,8,29
5778,9,30
5778,10,29
5778,11,30
5778,12,29
5779,1,30
5779,2,29
5779,3,30
5779,4,29
5779,5,30
5779,6,29
5779,7,30
5779,8,30
5779,9,30
5779,10,29
5779,11,30
5779,12,30
5779,13,29
5780,1,30
5780,2,29
5780,3,30
5780,4,29
5780,5,30
5780,6,29
5780,7,30
5780,8,30
5780,9,30
5780,10,29
5780,11,30
5780,12,29
5781,1,30
5781,2,29
5781,3,30
5781,4,29
5781,5,30
5781,6,29
5781,7,30
5781,8,29
5781,9,29
5781,10,29
5781,11,30
5781,12,29
5782,1,30
5782,2,29
5782,3,30
5782,4,29
5782,5,30
5782,6,29
5782,7,30
5782,8,29
5782,9,30
5782,10,29
5782,11,30
5782,12,30
5782,13,29
5783,1,30
5783,2,29
5783,3,30
5783,4,29
5783,5,30
5783,6,29
5783,7,30
5783,8,30
5783,9,30
5783,10,29
5783,11,30
5783,12,29
5784,1,30
5784,2,29
5784,3,30
5784,4,29
5784,5,30
5784,6,29
5784,7,30
5784,8,29
5784,9,29
5784,10,29
5784,11,30
5784,12,30
5784,13,29
5785,1,30
5785,2,29
5785,3,30
5785,4,29
5785,5,30
5785,6,29
5785,7,30
5785,8,30
5785,9,30
5785,10,29
5785,11,30
5785,12,29
5786,1,30
5786,2,29
5786,3,30
5786,4,29
5786,5,30
5786,6,29
5786,7,30
5786,8,29
5786,9,30
5786,10,29
5786,11,30
5786,12,29
5787,1,30
5787,2,29
5787,3,30
5787,4,29
5787,5,30
5787,6,29
5787,7,30
5787,8,30
5787,9,30
5787,10,29
5787,11,30
5787,12,30
5787,13,29
5788,1,30
5788,2,29
5788,3,30
5788,4,29
5788,5,30
5788,6,29
5788,7,30
5788,8,30
5788,9,30
5788,10,29
5788,11,30
5788,12,29
5789,1,30
