h_year,src_month,policy,resolved
5770,1,adar_i,1
5770,1,adar_ii,1
5770,5,adar_i,5
5770,5,adar_ii,5
5770,12,adar_i,12
5770,12,adar_ii,12
5770,13,adar_i,12
5770,13,adar_ii,12
5771,1,adar_i,1
5771,1,adar_ii,1
5771,5,adar_i,5
5771,5,adar_ii,5
5771,12,adar_i,12
5771,12,adar_ii,13
5771,13,adar_i,13
5771,13,adar_ii,13
5772,1,adar_i,1
5772,1,adar_ii,1
5772,5,adar_i,5
5772,5,adar_ii,5
5772,12,adar_i,12
5772,12,adar_ii,12
5772,13,adar_i,12
5772,13,adar_ii,12
5773,1,adar_i,1
5773,1,adar_ii,1
5773,5,adar_i,5
5773,5,adar_ii,5
5773,12,adar_i,12
5773,12,adar_ii,12
5773,13,adar_i,12
5773,13,adar_ii,12
5774,1,adar_i,1
5774,1,adar_ii,1
5774,5,adar_i,5
5774,5,adar_ii,5
5774,12,adar_i,12
5774,12,adar_ii,13
5774,13,adar_i,13
5774,13,adar_ii,13
5775,1,adar_i,1
5775,1,adar_ii,1
5775,5,adar_i,5
5775,5,adar_ii,5
5775,12,adar_i,12
5775,12,adar_ii,12
5775,13,adar_i,12
5775,13,adar_ii,12
5776,1,adar_i,1
5776,1,adar_ii,1
5776,5,adar_i,5
5776,5,adar_ii,5
5776,12,adar_i,12
5776,12,adar_ii,13
5776,13,adar_i,13
5776,13,adar_ii,13
5777,1,adar_i,1
5777,1,adar_ii,1
5777,5,adar_i,5
5777,5,adar_ii,5
5777,12,adar_i,12
5777,12,adar_ii,12
5777,13,adar_i,12
5777,13,adar_ii,12
5778,1,adar_i,1
5778,1,adar_ii,1
5778,5,adar_i,5
5778,5,adar_ii,5
5778,12,adar_i,12
5778,12,adar_ii,12
5778,13,adar_i,12
5778,13,adar_ii,12
5779,1,adar_i,1
5779,1,adar_ii,1
5779,5,adar_i,5
5779,5,adar_ii,5
5779,12,adar_i,12
5779,12,adar_ii,13
5779,13,adar_i,13
5779,13,adar_ii,13
5780,1,adar_i,1
5780,1,adar_ii,1
5780,5,adar_i,5
5780,5,adar_ii,5
5780,12,adar_i,12
5780,12,adar_ii,12
5780,13,adar_i,12
5780,13,adar_ii,12
5781,1,adar_i,1
5781,1,adar_ii,1
5781,5,adar_i,5
5781,5,adar_ii,5
5781,12,adar_i,12
5781,12,adar_ii,12
5781,13,adar_i,12
5781,13,adar_ii,12
5782,1,adar_i,1
5782,1,adar_ii,1
5782,5,adar_i,5
5782,5,adar_ii,5
5782,12,adar_i,12
5782,12,adar_ii,13
5782,13,adar_i,13
5782,13,adar_ii,13
5783,1,adar_i,1
5783,1,adar_ii,1
5783,5,adar_i,5
5783,5,adar_ii,5
5783,12,adar_i,12
5783,12,adar_ii,12
5783,13,adar_i,12
5783,13,adar_ii,12
5784,1,adar_i,1
5784,1,adar_ii,1
5784,5,adar_i,5
5784,5,adar_ii,5
5784,12,adar_i,12
5784,12,adar_ii,13
5784,13,adar_i,13
5784,13,adar_ii,13
5785,1,adar_i,1
5785,1,adar_ii,1
5785,5,adar_i,5
5785,5,adar_ii,5
5785,12,adar_i,12
5785,12,adar_ii,12
5785,13,adar_i,12
5785,13,adar_ii,12
5786,1,adar_i,1
5786,1,adar_ii,1
5786,5,adar_i,5
5786,5,adar_ii,5
5786,12,adar_i,12
5786,12,adar_ii,12
5786,13,adar_i,12
5786,13,adar_ii,12
5787,1,adar_i,1
5787,1,adar_ii,1
5787,5,adar_i,5
5787,5,adar_ii,5
5787,12,adar_i,12
5787,12,adar_ii,13
5787,13,adar_i,13
5787,13,adar_ii,13
5788,1,adar_i,1
5788,1,adar_ii,1
5788,5,adar_i,5
5788,5,adar_ii,5
5788,12,adar_i,12
5788,12,adar_ii,12
5788,13,adar_i,12
5788,13,adar_ii,12
5789,1,adar_i,1
5789,1,adar_ii,1
5789,5,adar_i,5
5789,5,adar_ii,5
5789,12,adar_i,12
5789,12,adar_ii,12
5789,13,adar_i,12
5789,13,adar_ii,12
5790,1,adar_i,1
5790,1,adar_ii,1
5790,5,adar_i,5
5790,5,adar_ii,5
5790,12,adar_i,12
5790,12,adar_ii,13
5790,13,adar_i,13
5790,13,adar_ii,13
5791,1,adar_i,1
5791,1,adar_ii,1
5791,5,adar_i,5
5791,5,adar_ii,5
5791,12,adar_i,12
5791,12,adar_ii,12
5791,13,adar_i,12
5791,13,adar_ii,12
5792,1,adar_i,1
5792,1,adar_ii,1
5792,5,adar_i,5
5792,5,adar_ii,5
5792,12,adar_i,12
5792,12,adar_ii,12
5792,13,adar_i,12
5792,13,adar_ii,12
5793,1,adar_i,1
5793,1,adar_ii,1
5793,5,adar_i,5
5793,5,adar_ii,5
5793,12,adar_i,12
5793,12,adar_ii,13
5793,13,adar_i,13
5793,13,adar_ii,13
5794,1,adar_i,1
5794,1,adar_ii,1
5794,5,adar_i,5
5794,5,adar_ii,5
5794,12,adar_i,12
5794,12,adar_ii,12
5794,13,adar_i,12
5794,13,adar_ii,12
5795,1,adar_i,1
5795,1,adar_ii,1
5795,5,adar_i,5
5795,5,adar_ii,5
5795,12,adar_i,12
5795,12,adar_ii,13
5795,13,adar_i,13
5795,13,adar_ii,13
5796,1,adar_i,1
5796,1,adar_ii,1
5796,5,adar_i,5
5796,5,adar_ii,5
5796,12,adar_i,12
5796,12,adar_ii,12
5796,13,adar_i,12
5796,13,adar_ii,12
5797,1,adar_i,1
5797,1,adar_ii,1
5797,5,adar_i,5
5797,5,adar_ii,5
5797,12,adar_i,12
5797,12,adar_ii,12
5797,13,adar_i,12
5797,13,adar_ii,12
5798,1,adar_i,1
5798,1,adar_ii,1
5798,5,adar_i,5
5798,5,adar_ii,5
5798,12,adar_i,12
5798,12,adar_ii,13
5798,13,adar_i,13
5798,13,adar_ii,13
5799,1,adar_i,1
5799,1,adar_ii,1
5799,5,adar_i,5
5799,5,adar_ii,5
5799,12,adar_i,12
5799,12,adar_ii,12
5799,13,adar_i,12
5799,13,adar_ii,12
5800,1,adar_i,1
5800,1,adar_ii,1
5800,5,adar_i,5
5800,5,adar_ii,5
5800,12,adar_i,12
5800,12,adar_ii,12
5800,13,adar_i,12
5800,13,adar_ii,12
5801,1,adar_i,1
5801,1,adar_ii,1
5801,5,adar_i,5
5801,5,adar_ii,5
5801,12,adar_i,12
5801,12,adar_ii,13
5801,13,adar_i,13
5801,13,adar_ii,13
5802,1,adar_i,1
5802,1,adar_ii,1
5802,5,adar_i,5
5802,5,adar_ii,5
5802,12,adar_i,12
5802,12,adar_ii,12
5802,13,adar_i,12
5802,13,adar_ii,12
5803,1,adar_i,1
5803,1,adar_ii,1
5803,5,adar_i,5
5803,5,adar_ii,5
5803,12,adar_i,12
5803,12,adar_ii,13
5803,13,adar_i,13
5803,13,adar_ii,13
5804,1,adar_i,1
5804,1,adar_ii,1
5804,5,adar_i,5
5804,5,adar_ii,5
5804,12,adar_i,12
5804,12,adar_ii,12
5804,13,adar_i,12
5804,13,adar_ii,12
5805,1,adar_i,1
5805,1,adar_ii,1
5805,5,adar_i,5
5805,5,adar_ii,5
5805,12,adar_i,12
5805,12,adar_ii,12
5805,13,adar_i,12
5805,13,adar_ii,12
5806,1,adar_i,1
5806,1,adar_ii,1
5806,5,adar_i,5
5806,5,adar_ii,5
5806,12,adar_i,12
5806,12,adar_ii,13
5806,13,adar_i,13
5806,13,adar_ii,13
5807,1,adar_i,1
5807,1,adar_ii,1
5807,5,adar_i,5
5807,5,adar_ii,5
5807,12,adar_i,12
5807,12,adar_ii,12
5807,13,adar_i,12
5807,13,adar_ii,12
5808,1,adar_i,1
