h_year,result
5770,תש״ע
5771,תשע״א
5772,תשע״ב
5773,תשע״ג
5774,תשע״ד
5775,תשע״ה
5776,תשע״ו
5777,תשע״ז
5778,תשע״ח
5779,תשע״ט
5780,תש״פ
5781,תשפ״א
5782,תשפ״ב
5783,תשפ״ג
5784,תשפ״ד
5785,תשפ״ה
5786,תשפ״ו
5787,תשפ״ז
5788,תשפ״ח
5789,תשפ״ט
5790,תש״צ
5791,תשצ״א
5792,תשצ״ב
5793,תשצ״ג
5794,תשצ״ד
5795,תשצ״ה
5796,תשצ״ו
5797,תשצ״ז
5798,תשצ״ח
5799,תשצ״ט
5800,ת״ת
5801,תת״א
5802,תת״ב
5803,תת״ג
5804,תת״ד
5805,תת״ה
5806,תת״ו
5807,תת״ז
5808,תת״ח
5809,תת״ט
5810,תת״י
5811,תתי״א
5812,תתי״ב
5813,תתי״ג
5814,תתי״ד
5815,תתט״ו
5816,תתט״ז
5817,תתי״ז
5818,תתי״ח
5819,תתי״ט
