today,month,day,feb29_policy,result
2022-01-01,1,1,feb28,2022-01-01
2022-01-01,1,1,mar01,2022-01-01
2022-01-01,1,2,feb28,2022-01-02
2022-01-01,1,2,mar01,2022-01-02
2022-01-01,1,3,feb28,2022-01-03
2022-01-01,1,3,mar01,2022-01-03
2022-01-01,1,4,feb28,2022-01-04
2022-01-01,1,4,mar01,2022-01-04
2022-01-01,1,5,feb28,2022-01-05
2022-01-01,1,5,mar01,2022-01-05
2022-01-01,1,6,feb28,2022-01-06
2022-01-01,1,6,mar01,2022-01-06
2022-01-01,1,7,feb28,2022-01-07
2022-01-01,1,7,mar01,2022-01-07
2022-01-01,1,8,feb28,2022-01-08
2022-01-01,1,8,mar01,2022-01-08
2022-01-01,1,9,feb28,2022-01-09
2022-01-01,1,9,mar01,2022-01-09
2022-01-01,1,10,feb28,2022-01-10
2022-01-01,1,10,mar01,2022-01-10
2022-01-01,1,11,feb28,2022-01-11
2022-01-01,1,11,mar01,2022-01-11
2022-01-01,1,12,feb28,2022-01-12
2022-01-01,1,12,mar01,2022-01-12
2022-01-01,1,13,feb28,2022-01-13
2022-01-01,1,13,mar01,2022-01-13
2022-01-01,1,14,feb28,2022-01-14
2022-01-01,1,14,mar01,2022-01-14
2022-01-01,1,15,feb28,2022-01-15
2022-01-01,1,15,mar01,2022-01-15
2022-01-01,1,16,feb28,2022-01-16
2022-01-01,1,16,mar01,2022-01-16
2022-01-01,1,17,feb28,2022-01-17
2022-01-01,1,17,mar01,2022-01-17
2022-01-01,1,18,feb28,2022-01-18
2022-01-01,1,18,mar01,2022-01-18
2022-01-01,1,19,feb28,2022-01-19
2022-01-01,1,19,mar01,2022-01-19
2022-01-01,1,20,feb28,2022-01-20
2022-01-01,1,20,mar01,2022-01-20
2022-01-01,1,21,feb28,2022-01-21
2022-01-01,1,21,mar01,2022-01-21
2022-01-01,1,22,feb28,2022-01-22
2022-01-01,1,22,mar01,2022-01-22
2022-01-01,1,23,feb28,2022-01-23
2022-01-01,1,23,mar01,2022-01-23
2022-01-01,1,24,feb28,2022-01-24
2022-01-01,1,24,mar01,2022-01-24
2022-01-01,1,25,feb28,2022-01-25
2022-01-01,1,25,mar01,2022-01-25
2022-01-01,1,26,feb28,2022-01-26
2022-01-01,1,26,mar01,2022-01-26
2022-01-01,1,27,feb28,2022-01-27
2022-01-01,1,27,mar01,2022-01-27
2022-01-01,1,28,feb28,2022-01-28
2022-01-01,1,28,mar01,2022-01-28
2022-01-01,1,29,feb28,2022-01-29
2022-01-01,1,29,mar01,2022-01-29
2022-01-01,1,30,feb28,2022-01-30
2022-01-01,1,30,mar01,2022-01-30
2022-01-01,1,31,feb28,2022-01-31
2022-01-01,1,31,mar01,2022-01-31
2022-01-01,2,1,feb28,2022-02-01
2022-01-01,2,1,mar01,2022-02-01
2022-01-01,2,2,feb28,2022-02-02
2022-01-01,2,2,mar01,2022-02-02
2022-01-01,2,3,feb28,2022-02-03
2022-01-01,2,3,mar01,2022-02-03
2022-01-01,2,4,feb28,2022-02-04
2022-01-01,2,4,mar01,2022-02-04
2022-01-01,2,5,feb28,2022-02-05
2022-01-01,2,5,mar01,2022-02-05
2022-01-01,2,6,feb28,2022-02-06
2022-01-01,2,6,mar01,2022-02-06
2022-01-01,2,7,feb28,2022-02-07
2022-01-01,2,7,mar01,2022-02-07
2022-01-01,2,8,feb28,2022-02-08
2022-01-01,2,8,mar01,2022-02-08
2022-01-01,2,9,feb28,2022-02-09
2022-01-01,2,9,mar01,2022-02-09
2022-01-01,2,10,feb28,2022-02-10
2022-01-01,2,10,mar01,2022-02-10
2022-01-01,2,11,feb28,2022-02-11
2022-01-01,2,11,mar01,2022-02-11
2022-01-01,2,12,feb28,2022-02-12
2022-01-01,2,12,mar01,2022-02-12
2022-01-01,2,13,feb28,2022-02-13
