today,month,day,adar_policy,result
2022-01-01,1,1,adar_i,2022-04-02
2022-01-01,1,1,adar_ii,2022-04-02
2022-01-01,1,2,adar_i,2022-04-03
2022-01-01,1,2,adar_ii,2022-04-03
2022-01-01,1,3,adar_i,2022-04-04
2022-01-01,1,3,adar_ii,2022-04-04
2022-01-01,1,4,adar_i,2022-04-05
2022-01-01,1,4,adar_ii,2022-04-05
2022-01-01,1,5,adar_i,2022-04-06
2022-01-01,1,5,adar_ii,2022-04-06
2022-01-01,1,6,adar_i,2022-04-07
2022-01-01,1,6,adar_ii,2022-04-07
2022-01-01,1,7,adar_i,2022-04-08
2022-01-01,1,7,adar_ii,2022-04-08
2022-01-01,1,8,adar_i,2022-04-09
2022-01-01,1,8,adar_ii,2022-04-09
2022-01-01,1,9,adar_i,2022-04-10
2022-01-01,1,9,adar_ii,2022-04-10
2022-01-01,1,10,adar_i,2022-04-11
2022-01-01,1,10,adar_ii,2022-04-11
2022-01-01,1,11,adar_i,2022-04-12
2022-01-01,1,11,adar_ii,2022-04-12
2022-01-01,1,12,adar_i,2022-04-13
2022-01-01,1,12,adar_ii,2022-04-13
2022-01-01,1,13,adar_i,2022-04-14
2022-01-01,1,13,adar_ii,2022-04-14
2022-01-01,1,14,adar_i,2022-04-15
2022-01-01,1,14,adar_ii,2022-04-15
2022-01-01,1,15,adar_i,2022-04-16
2022-01-01,1,15,adar_ii,2022-04-16
2022-01-01,1,16,adar_i,2022-04-17
2022-01-01,1,16,adar_ii,2022-04-17
2022-01-01,1,17,adar_i,2022-04-18
2022-01-01,1,17,adar_ii,2022-04-18
2022-01-01,1,18,adar_i,2022-04-19
2022-01-01,1,18,adar_ii,2022-04-19
2022-01-01,1,19,adar_i,2022-04-20
2022-01-01,1,19,adar_ii,2022-04-20
2022-01-01,1,20,adar_i,2022-04-21
2022-01-01,1,20,adar_ii,2022-04-21
2022-01-01,1,21,adar_i,2022-04-22
2022-01-01,1,21,adar_ii,2022-04-22
2022-01-01,1,22,adar_i,2022-04-23
2022-01-01,1,22,adar_ii,2022-04-23
2022-01-01,1,23,adar_i,2022-04-24
2022-01-01,1,23,adar_ii,2022-04-24
2022-01-01,1,24,adar_i,2022-04-25
2022-01-01,1,24,adar_ii,2022-04-25
2022-01-01,1,25,adar_i,2022-04-26
2022-01-01,1,25,adar_ii,2022-04-26
2022-01-01,1,26,adar_i,2022-04-27
2022-01-01,1,26,adar_ii,2022-04-27
2022-01-01,1,27,adar_i,2022-04-28
2022-01-01,1,27,adar_ii,2022-04-28
2022-01-01,1,28,adar_i,2022-04-29
2022-01-01,1,28,adar_ii,2022-04-29
2022-01-01,1,29,adar_i,2022-04-30
2022-01-01,1,29,adar_ii,2022-04-30
2022-01-01,1,30,adar_i,2022-05-01
2022-01-01,1,30,adar_ii,2022-05-01
2022-01-01,2,1,adar_i,2022-05-02
2022-01-01,2,1,adar_ii,2022-05-02
2022-01-01,2,2,adar_i,2022-05-03
2022-01-01,2,2,adar_ii,2022-05-03
2022-01-01,2,3,adar_i,2022-05-04
2022-01-01,2,3,adar_ii,2022-05-04
2022-01-01,2,4,adar_i,2022-05-05
2022-01-01,2,4,adar_ii,2022-05-05
2022-01-01,2,5,adar_i,2022-05-06
2022-01-01,2,5,adar_ii,2022-05-06
2022-01-01,2,6,adar_i,2022-05-07
2022-01-01,2,6,adar_ii,2022-05-07
2022-01-01,2,7,adar_i,2022-05-08
2022-01-01,2,7,adar_ii,2022-05-08
