gregorian,h_year,h_month,h_day
2064-09-24,5825,7,14
1969-12-23,5730,10,14
1954-06-28,5714,3,27
2083-01-21,5843,11,2
1999-05-08,5759,2,22
1993-12-10,5754,9,26
1990-01-19,5750,10,22
1975-01-14,5735,11,2
2082-02-22,5842,11,23
1968-05-23,5728,2,25
2071-06-03,5831,3,6
2082-11-24,5843,9,3
2047-11-09,5808,8,20
1965-08-07,5725,5,9
2055-12-14,5816,9,24
2025-09-15,5785,6,22
1955-09-14,5715,6,27
1955-05-07,5715,2,15
1966-10-24,5727,8,10
1989-03-25,5749,13,18
1991-09-30,5752,7,22
2040-09-03,5800,6,25
2058-01-07,5818,10,11
1954-10-06,5715,7,9
2050-09-14,5810,6,27
1985-09-05,5745,6,19
2078-06-23,5838,4,12
2066-08-10,5826,5,19
2075-11-03,5836,8,25
2047-10-12,5808,7,22
2025-04-10,5785,1,12
1989-07-21,5749,4,18
2030-08-08,5790,5,9
2055-09-25,5816,7,3
1999-12-01,5760,9,22
2095-03-27,5855,13,21
1951-03-02,5711,12,24
2086-02-25,5846,12,11
2094-08-03,5854,5,21
1978-08-25,5738,5,22
2075-04-08,5835,1,23
2025-10-30,5786,8,8
2011-01-19,5771,11,14
1999-11-10,5760,9,1
1977-11-24,5738,9,14
1988-08-19,5748,6,6
2086-12-29,5847,10,24
2010-05-25,5770,3,12
1968-05-04,5728,2,6
1966-08-23,5726,6,7
2018-03-03,5778,12,16
1967-05-10,5727,1,30
2014-05-31,5774,3,2
2011-09-19,5771,6,20
2058-04-29,5818,2,5
1997-06-18,5757,3,13
2094-10-27,5855,8,17
1957-10-18,5718,7,23
2080-12-07,5841,9,25
2032-06-07,5792,3,28
2046-03-20,5806,13,12
1972-05-25,5732,3,12
2017-12-02,5778,9,14
1964-02-21,5724,12,8
2049-01-19,5809,11,16
2002-08-09,5762,6,1
2098-10-26,5859,7,30
2062-10-18,5823,7,14
2060-12-24,5821,10,1
2014-11-21,5775,8,28
2053-08-05,5813,5,21
1984-07-02,5744,4,2
2076-06-02,5836,3,1
1962-06-25,5722,3,23
1958-03-23,5718,1,2
2068-08-25,5828,5,27
1990-11-22,5751,9,5
2088-09-16,5849,7,1
2001-12-04,5762,9,19
1964-04-26,5724,2,14
1991-10-09,5752,8,1
1968-02-15,5728,11,16
2018-03-16,5778,12,29
1999-11-17,5760,9,8
2031-05-10,5791,2,17
2064-01-23,5824,11,5
2099-08-31,5859,6,15
2015-06-18,5775,4,1
1979-03-09,5739,12,10
2016-06-03,5776,2,26
2013-09-30,5774,7,26
1987-08-05,5747,5,10
2070-04-01,5830,1,20
1997-11-26,5758,8,26
2075-12-05,5836,9,28
2072-08-24,5832,6,10
2066-04-11,5826,1,16
1962-10-24,5723,7,26
2059-04-19,5819,2,6
2063-12-07,5824,9,16
1980-09-15,5741,7,5
2045-11-03,5806,8,23
2080-10-29,5841,8,16
1993-12-04,5754,9,20
1979-04-27,5739,1,30
2032-12-10,5793,10,8
2018-01-31,5778,11,15
1998-06-09,5758,3,15
2064-11-01,5825,8,22
2073-06-23,5833,3,18
2049-12-07,5810,9,12
1989-05-28,5749,2,23
2072-11-02,5833,8,21
2008-03-09,5768,13,2
2087-11-10,5848,8,15
2089-03-27,5849,1,16
1960-01-14,5720,10,14
1991-02-05,5751,11,21
2097-06-15,5857,4,5
1955-10-05,5716,7,19
2094-06-13,5854,3,29
2006-08-08,5766,5,14
2021-12-24,5782,10,20
1998-01-15,5758,10,17
1961-11-16,5722,9,8
1987-11-09,5748,8,17
2051-10-08,5812,8,2
2078-10-25,5839,8,18
2006-06-18,5766,3,22
1988-02-25,5748,12,7
2067-08-09,5827,5,28
2039-07-30,5799,5,9
2020-12-27,5781,10,12
2065-05-06,5825,1,30
2032-05-01,5792,2,20
1975-08-21,5735,6,14
1997-07-12,5757,4,7
1975-01-20,5735,11,8
1994-04-02,5754,1,21
2083-09-03,5843,6,20
2050-09-22,5811,7,6
2046-09-16,5806,6,15
1997-02-22,5757,12,15
2084-01-14,5844,11,7
2054-11-22,5815,8,21
2026-11-15,5787,9,5
2054-09-14,5814,6,11
2021-08-31,5781,6,23
2014-12-14,5775,9,22
1989-05-09,5749,2,4
1974-10-27,5735,8,11
2041-06-04,5801,3,5
2038-07-21,5798,4,18
1966-04-24,5726,2,4
2085-08-10,5845,5,19
1958-06-15,5718,3,27
1969-09-03,5729,6,20
1977-06-04,5737,3,18
2062-08-01,5822,4,24
1978-09-15,5738,6,13
2092-02-14,5852,12,6
2072-02-06,5832,11,17
2025-09-30,5786,7,8
2057-01-05,5817,10,29
1961-05-26,5721,3,11
2019-01-15,5779,11,9
2018-06-22,5778,4,9
2056-12-02,5817,9,24
2033-12-25,5794,10,3
2044-12-09,5805,9,19
1995-02-10,5755,12,10
2049-04-07,5809,1,5
1952-01-23,5712,10,25
2072-01-24,5832,11,4
2079-04-27,5839,1,26
1970-07-22,5730,4,18
2072-04-26,5832,2,8
2046-05-07,5806,2,1
2084-09-23,5844,6,23
1997-11-16,5758,8,16
2087-11-28,5848,9,3
2065-01-03,5825,10,25
2011-01-14,5771,11,9
1970-01-06,5730,10,28
2002-08-30,5762,6,22
2028-01-04,5788,10,5
1978-05-19,5738,2,12
2031-05-31,5791,3,9
1950-08-01,5710,5,18
2079-07-26,5839,4,27
2079-02-17,5839,12,16
1997-04-05,5757,13,27
2039-10-27,5800,8,9
2086-09-19,5847,7,11
1982-01-21,5742,10,26
2041-02-03,5801,12,2
1969-02-03,5729,11,15
2062-03-13,5822,13,1
2003-07-20,5763,4,20
2064-08-24,5824,6,12
2041-02-02,5801,12,1
2059-04-08,5819,1,25
1985-09-09,5745,6,23
2017-02-02,5777,11,6
2086-10-25,5847,8,17
1978-12-27,5739,9,27
2046-10-12,5807,7,12
2089-09-16,5850,7,12
2045-02-28,5805,12,11
1950-02-07,5710,11,20
2057-06-20,5817,3,18
2008-02-29,5768,12,23
2037-09-02,5797,6,22
1953-06-30,5713,4,17
1970-01-27,5730,11,20
2015-02-17,5775,11,28
2099-03-24,5859,1,3
2094-10-04,5855,7,24
2005-03-06,5765,12,25
1992-12-18,5753,9,23
1960-05-24,5720,2,27
1993-03-21,5753,12,28
2051-10-20,5812,8,14
1964-02-18,5724,12,5
1965-05-15,5725,2,13
2081-04-29,5841,1,20
2037-03-14,5797,12,27
2096-06-01,5856,3,11
1962-06-02,5722,2,29
2086-06-22,5846,4,10
2045-08-01,5805,5,18
2087-05-31,5847,2,29
1972-07-25,5732,5,14
1973-01-14,5733,11,11
2068-05-18,5828,2,16
2035-04-13,5795,1,4
2048-08-25,5808,6,16
1979-08-18,5739,5,25
1997-07-23,5757,4,18
2044-09-05,5804,6,13
2058-11-03,5819,8,16
2025-12-03,5786,9,13
1988-01-02,5748,10,12
2046-10-07,5807,7,7
2085-07-08,5845,4,15
2080-12-20,5841,10,8
2073-10-13,5834,7,12
1986-02-03,5746,11,24
2077-12-03,5838,9,17
2005-12-06,5766,9,5
2021-08-04,5781,5,26
2070-07-09,5830,5,1
2017-01-01,5777,10,3
2028-08-10,5788,5,18
2042-11-13,5803,8,30
2031-01-04,5791,10,9
1971-09-18,5731,6,28
1994-06-25,5754,4,16
1990-04-26,5750,2,1
1961-06-28,5721,4,14
2010-08-30,5770,6,20
1953-10-10,5714,8,1
2055-07-24,5815,4,28
2049-05-22,5809,2,20
1991-04-16,5751,2,2
2055-08-02,5815,5,8
1989-07-07,5749,4,4
1951-04-17,5711,1,11
1962-09-27,5722,6,28
2077-01-03,5837,10,8
2063-03-28,5823,12,27
1960-07-25,5720,5,1
1991-01-29,5751,11,14
1962-02-04,5722,11,30
1955-08-21,5715,6,3
2009-04-15,5769,1,21
1962-09-18,5722,6,19
2042-04-03,5802,1,13
1992-09-14,5752,6,16
1999-12-20,5760,10,11
2070-01-13,5830,11,1
2037-02-05,5797,11,20
1988-06-10,5748,3,25
2046-10-03,5807,7,3
1973-09-28,5734,7,2
2079-10-16,5840,7,21
2052-06-17,5812,3,20
2053-05-22,5813,3,5
2034-10-23,5795,8,10
1993-08-08,5753,5,21
2090-10-13,5851,7,19
2034-11-12,5795,8,30
2094-11-21,5855,9,13
2023-01-15,5783,10,22
1984-03-01,5744,12,27
1966-12-04,5727,9,21
1967-05-24,5727,2,14
2068-03-29,5828,13,25
2027-05-06,5787,1,29
2013-07-28,5773,5,21
2026-01-01,5786,10,12
2023-10-06,5784,7,21
2033-10-18,5794,7,25
2080-10-25,5841,8,12
1959-09-21,5719,6,18
2070-10-27,5831,8,22
2067-04-01,5827,1,16
2065-12-11,5826,9,13
1967-08-29,5727,5,23
1960-11-16,5721,8,26
2022-03-30,5782,13,27
2080-08-30,5840,6,15
2010-11-18,5771,9,11
2093-08-25,5853,6,3
1969-08-10,5729,5,26
1994-08-13,5754,6,6
1984-05-18,5744,2,16
1984-02-17,5744,12,14
2046-03-24,5806,13,16
2030-06-30,5790,3,29
1975-02-25,5735,12,14
2025-09-12,5785,6,19
1982-12-04,5743,9,18
1999-12-24,5760,10,15
2033-01-03,5793,11,3
1994-10-28,5755,8,23
1963-07-12,5723,4,20
2029-07-06,5789,4,23
2094-12-25,5855,10,18
2048-09-29,5809,7,22
1967-07-27,5727,4,19
1959-01-29,5719,11,20
2067-01-05,5827,10,18
2046-12-30,5807,10,1
1952-08-25,5712,6,4
1966-09-26,5727,7,12
2085-03-18,5845,12,21
1992-05-31,5752,2,28
1979-11-04,5740,8,14
2022-12-03,5783,9,9
2037-02-19,5797,12,4
2036-05-15,5796,2,18
1988-05-09,5748,2,22
2021-12-16,5782,10,12
1960-07-09,5720,4,14
1979-07-17,5739,4,22
2017-12-31,5778,10,13
1950-05-22,5710,3,6
2020-01-20,5780,10,23
1997-08-02,5757,4,28
2090-09-07,5850,6,12
2090-11-16,5851,8,23
2031-08-23,5791,6,4
2001-03-08,5761,12,13
2025-11-25,5786,9,5
2074-12-27,5835,10,9
2081-01-27,5841,11,17
2090-07-23,5850,4,25
2049-09-20,5809,6,23
2068-10-04,5829,7,8
2078-11-26,5839,9,21
2037-04-28,5797,2,13
1977-10-10,5738,7,28
1984-01-28,5744,11,24
2003-03-29,5763,13,25
1989-01-23,5749,11,17
1960-06-29,5720,4,4
2053-12-03,5814,9,22
2082-01-05,5842,10,4
2047-04-15,5807,1,19
1960-12-08,5721,9,19
2084-03-17,5844,13,10
2006-04-09,5766,1,11
1960-04-04,5720,1,7
1958-12-31,5719,10,20
2054-10-26,5815,7,24
2035-07-20,5795,4,13
2040-03-23,5800,1,9
2045-04-19,5805,2,2
1978-04-01,5738,13,23
1960-03-16,5720,12,17
2041-02-13,5801,12,12
1964-05-17,5724,3,6
1983-05-06,5743,2,23
1962-04-18,5722,1,14
2056-10-07,5817,7,27
1962-03-12,5722,13,6
2071-02-25,5831,12,26
1992-03-15,5752,13,10
2022-06-13,5782,3,14
1971-07-06,5731,4,13
2052-03-20,5812,13,19
1994-03-06,5754,12,23
2053-11-16,5814,9,5
2056-09-03,5816,6,22
1957-02-17,5717,12,16
2061-02-18,5821,11,28
1964-09-16,5725,7,10
2025-03-22,5785,12,22
2067-12-14,5828,10,8
2054-09-23,5814,6,20
2051-06-02,5811,3,22
2043-10-21,5804,7,17
2006-10-07,5767,7,15
1996-10-15,5757,8,2
1986-08-26,5746,5,21
2070-03-03,5830,12,20
2078-07-04,5838,4,23
2006-05-17,5766,2,19
1992-10-29,5753,8,2
1997-08-29,5757,5,26
2021-01-06,5781,10,22
1973-06-26,5733,3,26
2065-10-27,5826,7,27
2003-10-30,5764,8,4
2032-01-15,5792,11,2
2006-09-24,5767,7,2
2084-11-27,5845,8,29
1963-01-07,5723,10,11
1951-09-03,5711,6,2
2032-03-25,5792,1,13
2061-06-15,5821,3,27
2051-01-07,5811,10,23
1967-12-10,5728,9,8
1963-02-23,5723,11,29
2046-06-20,5806,3,16
1988-03-31,5748,1,13
2040-10-08,5801,8,1
1973-10-07,5734,7,11
2012-08-15,5772,5,27
1962-05-06,5722,2,2
1993-10-31,5754,8,16
2016-04-21,5776,1,13
2001-02-18,5761,11,25
1978-04-22,5738,1,15
2028-08-15,5788,5,23
2099-08-07,5859,5,21
2047-06-21,5807,3,27
2076-03-27,5836,13,22
2004-04-12,5764,1,21
2059-10-02,5820,7,25
2094-10-26,5855,8,16
2067-05-05,5827,2,20
2044-11-27,5805,9,7
1951-05-28,5711,2,22
2069-11-01,5830,8,17
2096-08-11,5856,5,23
2049-07-06,5809,4,6
2003-09-20,5763,6,23
2069-01-11,5829,10,18
1968-08-02,5728,5,8
1974-02-04,5734,11,12
1997-06-15,5757,3,10
1970-09-17,5730,6,16
1969-03-16,5729,12,26
2083-03-19,5843,12,29
1977-11-22,5738,9,12
1998-11-13,5759,8,24
2000-07-22,5760,4,19
2058-07-11,5818,4,19
1987-10-17,5748,7,24
2078-10-05,5839,7,28
2011-07-11,5771,4,9
1986-07-13,5746,4,6
2073-05-10,5833,2,3
2063-10-20,5824,7,27
1997-05-14,5757,2,7
2040-09-07,5800,6,29
2037-08-28,5797,6,17
1995-01-22,5755,11,21
1959-02-12,5719,12,4
1966-07-24,5726,5,7
2063-10-23,5824,7,30
2098-10-23,5859,7,27
1999-08-24,5759,6,12
1957-11-29,5718,9,6
1950-08-21,5710,6,8
2009-11-06,5770,8,19
2088-05-12,5848,2,21
1973-06-22,5733,3,22
2064-04-25,5824,2,9
1997-01-01,5757,10,22
1978-12-29,5739,9,29
2082-12-31,5843,10,10
2029-04-12,5789,1,27
2048-12-26,5809,10,21
2076-08-13,5836,5,14
2026-09-27,5787,7,16
2050-08-23,5810,6,5
1951-09-26,5711,6,25
1963-07-03,5723,4,11
2073-12-27,5834,9,27
1976-09-29,5737,7,5
2047-11-23,5808,9,5
1956-06-19,5716,4,10
2099-10-02,5860,7,18
2016-03-31,5776,13,21
2054-07-09,5814,4,3
2049-02-20,5809,12,18
1976-07-28,5736,5,1
2027-02-12,5787,12,5
1972-11-13,5733,9,7
1957-07-04,5717,4,5
2005-04-24,5765,1,15
2015-06-06,5775,3,19
2092-11-05,5853,8,5
1957-02-27,5717,12,26
2014-03-15,5774,13,13
1987-09-11,5747,6,17
2072-05-19,5832,3,2
1994-10-10,5755,8,5
2069-09-01,5829,6,15
1968-06-11,5728,3,15
2013-06-17,5773,4,9
2089-12-22,5850,10,19
2050-06-17,5810,3,27
2022-12-01,5783,9,7
2061-05-13,5821,2,23
2084-06-23,5844,3,20
1977-09-24,5738,7,12
1992-06-23,5752,3,22
1979-02-27,5739,11,30
2093-07-10,5853,4,16
2095-06-23,5855,3,21
1981-10-08,5742,7,10
2023-12-24,5784,10,12
1954-06-13,5714,3,12
1982-03-08,5742,12,13
2082-02-28,5842,11,29
2009-08-09,5769,5,19
2090-05-20,5850,2,20
2023-11-16,5784,9,3
2093-12-11,5854,9,22
2070-03-15,5830,1,3
2081-11-21,5842,8,19
2095-06-22,5855,3,20
1994-07-12,5754,5,4
1997-11-15,5758,8,15
1978-07-26,5738,4,21
2091-04-12,5851,1,24
2075-10-30,5836,8,21
1969-05-25,5729,3,8
2018-08-22,5778,6,11
1956-12-12,5717,10,8
2034-06-16,5794,3,29
1989-11-29,5750,9,1
1985-10-23,5746,8,8
2096-07-08,5856,4,18
2032-08-04,5792,5,27
2012-09-27,5773,7,11
2004-10-04,5765,7,19
2097-03-24,5857,1,11
2092-09-15,5852,6,13
1990-11-02,5751,8,14
1989-12-31,5750,10,3
1954-03-31,5714,13,26
2068-06-05,5828,3,5
1984-08-26,5744,5,28
2021-06-30,5781,4,20
2008-11-24,5769,8,26
1999-12-28,5760,10,19
1962-06-16,5722,3,14
2088-10-03,5849,7,18
2000-01-31,5760,11,24
2013-01-02,5773,10,20
2065-02-06,5825,11,30
2041-05-27,5801,2,26
2021-09-18,5782,7,12
2071-12-04,5832,9,12
2046-03-19,5806,13,11
2009-06-02,5769,3,10
1954-12-14,5715,9,19
1970-09-12,5730,6,11
1996-11-13,5757,9,2
1982-01-15,5742,10,20
2054-03-05,5814,12,25
1997-08-19,5757,5,16
1956-11-12,5717,9,8
1969-06-14,5729,3,28
2057-01-15,5817,11,10
2027-12-22,5788,9,22
2012-01-10,5772,10,15
2080-09-20,5841,7,7
2091-02-09,5851,11,21
2006-04-14,5766,1,16
2028-04-20,5788,1,24
2058-10-09,5819,7,21
2041-10-06,5802,7,11
1970-10-01,5731,7,1
2019-02-12,5779,12,7
2053-06-16,5813,3,30
1984-02-09,5744,12,6
1995-09-15,5755,6,20
1957-12-18,5718,9,25
2077-03-05,5837,12,10
2028-03-29,5788,1,2
1950-04-21,5710,2,4
2043-04-16,5803,1,6
2094-09-17,5855,7,7
2046-08-12,5806,5,10
2073-03-29,5833,13,20
2079-02-01,5839,11,30
2083-02-16,5843,11,28
2082-03-31,5842,1,1
2070-05-01,5830,2,20
1985-05-09,5745,2,18
2015-05-09,5775,2,20
2027-05-22,5787,2,15
1962-07-22,5722,4,20
2069-03-08,5829,12,15
2009-03-31,5769,1,6
2061-10-24,5822,8,10
2006-04-29,5766,2,1
1972-05-12,5732,2,28
2079-02-22,5839,12,21
2003-11-20,5764,8,25
2040-12-28,5801,10,24
2005-06-30,5765,3,23
2069-08-29,5829,6,12
2023-04-12,5783,1,21
2008-07-11,5768,4,8
2022-03-15,5782,13,12
2075-02-06,5835,11,21
2003-01-19,5763,11,16
2049-06-23,5809,3,23
1972-11-02,5733,8,25
1984-06-03,5744,3,3
2025-06-10,5785,3,14
2069-04-22,5829,2,1
2018-01-11,5778,10,24
2071-07-13,5831,4,16
2084-03-27,5844,13,20
1981-03-24,5741,13,18
2060-06-10,5820,3,12
2052-02-11,5812,12,11
2004-01-01,5764,10,7
2022-11-11,5783,8,17
2048-04-25,5808,2,12
2099-08-06,5859,5,20
1950-01-27,5710,11,9
2004-07-10,5764,4,21
2001-06-25,5761,4,4
1987-09-18,5747,6,24
2027-02-19,5787,12,12
2090-12-27,5851,10,6
2054-01-24,5814,11,15
2058-11-08,5819,8,21
2067-06-22,5827,4,9
2007-10-27,5768,8,15
2033-06-07,5793,3,10
2029-04-08,5789,1,23
2029-05-03,5789,2,18
2071-03-24,5831,13,23
1988-05-06,5748,2,19
2041-09-20,5801,6,24
2034-11-26,5795,9,14
2092-06-02,5852,2,26
2092-10-30,5853,7,29
2082-01-19,5842,10,18
1980-06-12,5740,3,28
2068-03-20,5828,13,16
1965-03-20,5725,13,16
2000-12-02,5761,9,5
2042-06-27,5802,4,9
2069-02-11,5829,11,20
