input,ok,day,month,year
15/03/1990,True,15,3,1990
15.03.1990,True,15,3,1990
15-03-1990,True,15,3,1990
15/03,True,15,3,
15.03,True,15,3,
1990-03-15,True,15,3,1990
15 במרץ,True,15,3,
15 March,True,15,3,
15 march,True,15,3,
1 בינואר,True,1,1,
15/03/10,True,15,3,2010
15/03/90,True,15,3,1990
not a date,False,,,
15/13/1990,False,,,
32/01/1990,False,,,
15/03/1800,False,,,
15 Blorptember,False,,,
,False,,,
<script>alert(1)</script>,False,,,
32/13/90,False,,,
1990-13-32,False,,,
1800-03-15,False,,,
32/13,False,,,
32 במרץ,False,,,
29/02/2024,True,29,2,2024
29/02/2023,True,29,2,2023
1/1/2000,True,1,1,2000
31/04/2020,False,,,
  15/03/1990  ,True,15,3,1990
15//03/1990,False,,,
15.03.1990.,False,,,
0/1/2000,False,,,
1/0/2000,False,,,
1/13/2000,False,,,
13/1/2000,True,13,1,2000
9999999999,False,,,
-5/3/1990,False,,,
15/3/-1990,False,,,
15 בפברואר,True,15,2,
15 באפריל,True,15,4,
15 במאי,True,15,5,
15 ביוני,True,15,6,
15 ביולי,True,15,7,
15 באוגוסט,True,15,8,
15 בספטמבר,True,15,9,
15 באוקטובר,True,15,10,
15 בנובמבר,True,15,11,
15 בדצמבר,True,15,12,
1 Jan,True,1,1,
1 Feb,True,1,2,
1 Sept,True,1,9,
1 Sep,True,1,9,
1 Oct,True,1,10,
1 Nov,True,1,11,
1 Dec,True,1,12,
15/03/2100,True,15,3,2100
15/03/2101,False,,,
15/03/1899,False,,,
15/03/1900,True,15,3,1900
רdטתAe/זי,False,,,
טהכc-aט6מD,False,,,
4צcaחכ,False,,,
הa1חB7,False,,,
א/וbcBס,False,,,
ב\ש4DקCת2,False,,,
ל,False,,,
C3b1D\\6ד\,False,,,
תו0Cזמת,False,,,
 ש2שeEה-C.קק,False,,,
.a3פdAס1,False,,,
קפרEeחשתEבב4,False,,,
83/ו5\נרב3ש,False,,,
מח,False,,,
d2מד93Dסח,False,,,
4-חabE,False,,,
בd-\8עכCמ,False,,,
ב/ dזכC\,False,,,
Cל/dעCcDו21ר,False,,,
\Eמהרוכח ,False,,,
נAיD,False,,,
9Cגאיd,False,,,
ס,False,,,
0ז5גפקBי82צ,False,,,
י\Dנ7aאה3,False,,,
d-חרזגA,False,,,
b,False,,,
9צAaE2Eשפד,False,,,
,False,,,
9ס,False,,,
E,False,,,
Cפסe1.\/א E,False,,,
,False,,,
Dנסdכbהו1cמ,False,,,
D6/5d,False,,,
,False,,,
Da\/,False,,,
\65/שEכתBא,False,,,
,False,,,
 bלזשס,False,,,
\444Ea8,False,,,
גAי10,False,,,
bא3רש7Eכגקשד,False,,,
c0,False,,,
הפט2aו,False,,,
,False,,,
B353טמCלכע.0,False,,,
b.\4מ\5,False,,,
Dק/ל B5 ,False,,,
.מ1מקרה6,False,,,
Dוד3dפטו1טA,False,,,
זc-6ר1c3כ,False,,,
קכ2כ0E2bCמe,False,,,
5וBקCנש,False,,,
-5סAbטט2,False,,,
96,False,,,
Cל/,False,,,
\a,False,,,
יעז4,False,,,
C-/Bע,False,,,
ר5bג,False,,,
ב9e6-9d,False,,,
/92a03אח7ה\,False,,,
4eצמCקתיeכ,False,,,
\,False,,,
.dטd-cקa3eא6,False,,,
שודו,False,,,
2בלו,False,,,
c5EרA,False,,,
רג2ו,False,,,
,False,,,
מפ,False,,,
Eתז/Bיק,False,,,
1נ4A\cריה-,False,,,
קפbCCלתנdA8כ,False,,,
י.4בז8,False,,,
Eתגd,False,,,
ב66C.8חb,False,,,
8צ7E9צ,False,,,
cחaמש1,False,,,
ה5יeיCצס163ת,False,,,
9 c,False,,,
d,False,,,
,False,,,
3C2AקC1תcו9,False,,,
זאהBdהזהC,False,,,
זd.2רC,False,,,
6ממכ נ,False,,,
D4 0ddק.כגBA,False,,,
בנ.40,False,,,
Dבונ1Dדת,False,,,
קעכ,False,,,
ח,False,,,
,False,,,
0 צCבAסדנ.קb,False,,,
,False,,,
eוbסכBשA2א,False,,,
עDeר.עeגהת,False,,,
ער,False,,,
כרסA,False,,,
קלמ29זb6,False,,,
יז6שא טב/,False,,,
נ ז6פה4D2ש,False,,,
-,False,,,
c \צמAEלb62,False,,,
18b תe0חשפקC,False,,,
,False,,,
4קו,False,,,
8זררגורס,False,,,
6נד7,False,,,
,False,,,
,False,,,
dגג,False,,,
a,False,,,
 9,False,,,
/6ק8טeDג4/D,False,,,
קלבמ,False,,,
,False,,,
c\גפהc,False,,,
cי7C,False,,,
קב.וצקזפ,False,,,
8מגנbEת,False,,,
צד,False,,,
3DACו,False,,,
4גשC9הה,False,,,
/גישe.Dזאחור,False,,,
0טנ DקזDע,False,,,
ל 8 חב-9b,False,,,
bשעa,False,,,
a3בDדb,False,,,
1/קו7,False,,,
d3D95,False,,,
צ-פ\dשטל/ ,False,,,
א1ת,False,,,
ח.תפז7dה,False,,,
ת,False,,,
כ2סג,False,,,
לוהb 8ע,False,,,
Cמק1,False,,,
זלdeיחע,False,,,
4פeב6עזצח3,False,,,
