year,hebrew,ok,result
1990,False,True,1990
1990,True,False,
1900,False,True,1900
1900,True,False,
2100,False,True,2100
2100,True,False,
1899,False,False,
1899,True,False,
2101,False,False,
2101,True,False,
0,False,False,
0,True,False,
-1,False,False,
-1,True,False,
1800,False,False,
1800,True,False,
2200,False,False,
2200,True,False,
5750,False,False,
5750,True,True,5750
5660,False,False,
5660,True,True,5660
5860,False,False,
5860,True,True,5860
5659,False,False,
5659,True,False,
5861,False,False,
5861,True,False,
